pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WZ,S32T5,626490,3170704,136/138,508/508,270/270,110/120,302/302,143/143,208/208,428/428,341/345,149/159,264/264,342/342,251/257
WZ,S32T8,626546,3170768,136/136,504/508,270/270,110/120,302/302,143/143,182/208,428/428,333/339,149/149,256/264,328/342,251/251
WZ,S32T9,626546,3170767,136/138,508/510,270/270,110/110,302/302,143/143,210/210,422/424,335/339,149/163,264/264,342/342,249/249
WZ,S32T10,626548,3170767,138/138,508/508,NA,102/102,302/302,143/143,208/208,428/428,335/339,149/163,258/258,342/342,249/251
WZ,S33T2,626548,3170836,136/136,506/510,270/270,110/120,298/302,143/143,198/212,428/428,333/339,165/165,256/266,328/336,245/251
WZ,S33T6,626561,3170806,136/138,508/510,246/276,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/344,249/251
WZ,S33T7_N,626562,3170809,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,335/339,149/149,256/264,328/342,251/251
WZ,S33T8,626540,3170809,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/163,256/266,328/342,249/251
WZ,S33T9_N,626554,3170808,138/138,508/508,NA,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/251
WZ,S33T10,626577,3170788,138/138,508/510,276/276,102/102,302/302,143/143,208/208,428/428,333/339,149/149,256/256,342/342,251/257
WZ,S33T12,626547,3170780,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,249/251
WZ,S33T20,626559,3170813,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,335/335,165/165,268/268,328/346,267/267
WZ,S34T1,626627,3170767,136/136,508/508,270/270,110/110,298/302,143/143,208/208,428/428,333/339,149/163,256/264,342/342,249/251
WZ,S34T4,626694,3170874,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/251
WZ,S34T5,626716,3170861,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,339/339,159/161,268/268,336/342,251/251
WZ,S34T6,626717,3170857,136/138,508/508,270/270,110/110,298/302,143/143,208/208,418/428,339/339,149/163,256/264,342/344,249/251
WZ,S34T7,626728,3170868,136/138,508/508,270/270,110/110,298/302,143/143,208/208,418/428,339/345,149/163,258/266,342/344,249/251
WZ,S34T11,626875,3170969,136/136,508/508,NA,110/110,302/302,143/143,208/208,428/428,335/339,149/163,264/264,342/342,249/251
WZ,S35T1,626960,3171114,136/138,508/510,270/270,104/110,302/302,143/143,208/208,428/428,335/339,159/163,252/252,342/342,257/257
WZ,S35T2,627035,3171319,138/138,508/510,270/284,110/110,298/302,143/143,208/208,428/428,335/335,149/149,256/266,328/342,249/251
WZ,S36T1,627185,3171467,138/138,508/510,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/257
WZ,S36T2,627216,3171483,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/149,250/256,342/342,251/251
WZ,S36T4,627231,3171494,138/138,508/508,238/238,102/110,298/302,143/143,208/208,418/428,339/339,163/163,256/264,328/342,251/257
WZ,S36T5,627226,3171501,136/136,510/510,270/270,110/110,302/302,143/143,208/216,428/428,335/335,163/165,256/256,342/342,249/251
WZ,S36T6,627226,3171502,136/136,508/508,270/270,110/110,302/302,143/143,208/208,414/428,335/339,149/163,256/256,342/342,245/251
WZ,S36T7,627218,3171517,136/138,508/510,270/270,102/110,298/302,143/143,208/216,418/428,331/339,149/163,266/266,328/342,249/257
WZ,S36T8,627223,3171514,138/138,508/508,270/270,110/110,302/302,143/143,208/216,414/428,335/345,163/165,268/268,328/342,249/251
WZ,S36T9,627228,3171517,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/163,256/256,342/342,251/257
WZ,S36T10,627216,3171518,136/138,508/508,270/270,110/110,302/302,143/143,190/208,428/428,339/345,149/163,256/256,342/342,251/257
WZ,S36T11,627217,3171518,138/138,508/508,270/286,110/110,298/302,143/143,208/208,418/428,335/339,149/149,256/266,342/342,245/251
WZ,S36T12,627221,3171526,136/136,508/510,270/270,102/110,298/302,143/143,208/208,418/428,335/339,163/163,256/266,328/342,249/257
WZ,S36T13,627219,3171525,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,343/343,149/149,258/264,342/342,249/249
WZ,S36T14,627215,3171518,138/138,508/510,270/270,110/110,298/302,143/143,208/216,428/428,333/339,149/163,256/256,328/342,249/257
WZ,S36T15,627201,3171524,136/136,508/508,270/270,110/110,302/302,143/143,208/208,414/428,335/335,149/163,250/256,342/342,245/251
WZ,S37T1,627244,3171526,136/138,508/508,270/270,110/122,302/302,143/143,208/208,418/428,335/339,163/163,256/256,342/342,251/251
WZ,S37T2,627255,3171528,136/136,506/506,270/270,110/122,302/302,143/143,210/210,426/428,333/335,165/165,256/266,336/340,249/267
WZ,S37T3,627231,3171544,136/136,508/510,270/286,102/110,298/302,143/143,208/208,420/428,339/339,149/163,246/256,328/344,249/257
WZ,S37T4,627254,3171565,136/138,510/510,270/270,110/110,298/302,143/143,208/208,428/428,335/339,149/163,256/264,328/342,249/257
WZ,S37T5,627276,3171557,136/138,506/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/149,246/256,342/342,249/257
WZ,S37T7,627282,3171565,136/136,506/508,270/270,110/110,302/302,143/143,208/216,420/428,339/339,149/165,256/266,342/344,249/257
WZ,S37T8,627284,3171562,136/138,508/508,270/270,110/110,302/302,143/143,208/214,428/428,335/335,163/165,248/256,328/342,249/249
WZ,S37T9,627276,3171573,136/138,508/510,270/270,110/110,298/298,143/143,208/216,428/428,335/335,149/149,262/262,328/342,249/251
WZ,S37T11,627273,3171584,136/138,508/510,NA,102/110,298/298,143/143,208/216,418/428,339/345,149/149,256/264,328/342,249/249
WZ,S38T1,627313,3171614,136/138,508/508,270/270,110/110,298/302,143/143,208/208,428/428,335/339,149/159,256/256,342/342,249/251
WZ,S38T3,627360,3171595,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,333/345,149/165,248/266,328/328,249/249
WZ,S38T4_N,627397,3171780,136/136,508/508,270/270,104/112,302/302,143/143,208/216,428/428,335/335,149/163,256/256,342/342,249/251
WZ,S38T5,627360,3171634,136/138,510/510,270/270,110/112,302/302,143/143,208/208,428/428,335/339,149/165,250/264,328/342,249/251
WZ,S39T1_N,627400,3171601,138/138,508/510,270/270,110/110,300/302,143/143,208/216,428/428,339/339,149/165,250/256,328/342,249/257
WZ,S39T2,627434,3171599,136/138,508/508,270/270,110/110,302/302,143/143,208/208,418/428,333/339,149/163,256/258,342/342,249/251
WZ,S39T3,627458,3171596,136/138,508/510,270/286,102/110,298/302,143/143,208/208,418/428,339/339,149/163,256/256,342/342,249/257
WZ,S39T4,627455,3171603,136/136,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/339,165/165,248/256,342/342,251/251
WZ,S39T5,627462,3171618,136/138,508/508,270/270,110/110,302/302,143/143,208/208,420/428,345/373,149/165,246/256,342/342,251/251
WZ,S39T6,627463,3171623,136/138,508/508,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/149,250/264,344/344,249/251
WZ,S40T1,627714,3171337,136/138,508/510,270/270,110/110,298/302,143/143,208/208,418/428,339/339,149/149,256/256,342/342,251/257
WZ,S41T1,633129,3170736,136/138,508/508,270/270,110/118,302/302,143/143,208/208,414/428,335/339,163/165,256/256,342/344,251/251
